Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,AcadianFlycatcher,Intercept,0.5482,0.241,0.1608,0.5452,0.9465,1.0023,1200,NE,YES
Occupancy,AlderFlycatcher,Intercept,-4.2721,1.4454,-6.5804,-4.3193,-1.7713,1.0584,496,NE,YES
Occupancy,AmericanCrow,Intercept,0.8367,0.3888,0.2908,0.7979,1.5512,1.0007,1200,R,YES
Occupancy,AmericanGoldfinch,Intercept,3.7467,0.7457,2.6876,3.6801,5.1222,1.0091,1057,M,YES
Occupancy,AmericanKestrel,Intercept,-3.063,1.4614,-5.0815,-3.2267,-0.4108,1.0017,420,R,YES
Occupancy,AmericanRedstart,Intercept,-2.0066,0.7486,-3.0317,-2.1006,-0.7317,1.0074,798,NE,YES
Occupancy,AmericanRobin,Intercept,3.809,0.7284,2.8114,3.7253,5.1973,1.0059,1059,M,YES
Occupancy,AmericanWoodcock,Intercept,-3.6494,0.8278,-4.937,-3.654,-2.3242,1.0042,747,M,YES
Occupancy,BarredOwl,Intercept,1.0152,2.1134,-1.8126,0.6719,5.0171,1.0079,197,R,NO
Occupancy,BaldEagle,Intercept,-3.2111,1.5697,-5.3234,-3.4542,-0.485,1.0103,205,R,YES
Occupancy,BankSwallow,Intercept,-4.2393,1.2443,-6.1887,-4.2962,-2.0944,1.0052,727,NE,YES
Occupancy,BaltimoreOriole,Intercept,0.3505,0.3602,-0.1892,0.3286,0.9424,1.007,1200,NE,NO
Occupancy,BarnSwallow,Intercept,-1.9659,0.371,-2.5925,-1.9736,-1.3556,1.0015,1200,NE,YES
Occupancy,Black-cappedChickadee,Intercept,4.4632,0.9768,3.1629,4.2933,6.4011,1.0016,982,R,YES
Occupancy,BeltedKingfisher,Intercept,-0.2984,1.0338,-1.4446,-0.5165,1.5876,1.0267,396,R,NO
Occupancy,Blue-grayGnatcatcher,Intercept,1.8781,0.4216,1.309,1.8191,2.6471,1.0193,1314,M,YES
Occupancy,Brown-headedCowbird,Intercept,2.9723,0.6824,2.0822,2.8639,4.167,1.0087,887,M,YES
Occupancy,Blue-headedVireo,Intercept,-4.1833,1.388,-6.3055,-4.2597,-1.7514,1.0024,478,NE,YES
Occupancy,BlueJay,Intercept,3.6712,0.8851,2.5654,3.5222,5.3008,1.0066,845,M,YES
Occupancy,Bobolink,Intercept,-3.9962,1.4257,-6.1083,-4.1018,-1.5013,1.0084,440,NE,YES
Occupancy,BrownCreeper,Intercept,-2.278,0.5124,-3.1197,-2.2907,-1.444,1.0209,1200,M,YES
Occupancy,BrownThrasher,Intercept,-3.3749,1.0456,-4.9258,-3.4408,-1.6669,1.0079,862,M,YES
Occupancy,Black-throatedGreenWarbler,Intercept,-3.7785,1.523,-6.062,-3.8793,-1.0564,1.0081,398,NE,YES
Occupancy,Broad-wingedHawk,Intercept,-3.1624,1.4389,-5.176,-3.3348,-0.6279,1.0181,303,NE,YES
Occupancy,Blue-wingedWarbler,Intercept,-3.2814,0.6414,-4.2921,-3.2958,-2.1926,1.0004,887,NE,YES
Occupancy,CanadaGoose,Intercept,1.0948,1.6291,-1.0312,0.8303,4.2198,1.0939,301,R,NO
Occupancy,CarolinaWren,Intercept,0.2002,0.3433,-0.3076,0.1634,0.7896,1.0018,1200,R,NO
Occupancy,CedarWaxwing,Intercept,0.4694,0.3461,-0.0428,0.432,1.0862,1.004,1200,M,NO
Occupancy,CeruleanWarbler,Intercept,-4.3065,1.426,-6.4399,-4.3537,-2.0595,1.0171,449,NE,YES
Occupancy,ChippingSparrow,Intercept,-0.97,0.2794,-1.4078,-0.9755,-0.5261,1.0031,1200,M,YES
