Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI
Occupancy,Acadian Flycatcher,Intercept,0.234,0.2189,-0.1936,0.2263,0.6652,1,1200,-0.1116,0.5983
Occupancy,Alder Flycatcher,Intercept,-4.6154,1.2222,-7.0511,-4.6699,-2.1794,1.0076,794,-6.55,-2.5809
Occupancy,American Crow,Intercept,-0.0006,0.391,-0.6121,-0.0505,0.9042,1.0243,1200,-0.5431,0.6397
Occupancy,American Goldfinch,Intercept,2.6936,0.8529,1.6175,2.5289,4.8081,1.0026,862,1.7358,4.2499
Occupancy,American Kestrel,Intercept,-4.4353,1.3088,-6.858,-4.4972,-1.9547,1.0133,557,-6.4682,-2.4585
Occupancy,American Redstart,Intercept,-2.4841,0.5525,-3.486,-2.5436,-1.3104,1.0089,1200,-3.3129,-1.5385
Occupancy,American Robin,Intercept,2.4787,0.3953,1.825,2.4325,3.3823,1.0028,1060,1.9102,3.185
Occupancy,American Woodcock,Intercept,-4.1978,0.9036,-5.9506,-4.1849,-2.3962,1.0038,941,-5.6645,-2.7753
Occupancy,Barred Owl,Intercept,-3.2363,1.2162,-5.3244,-3.3502,-0.3969,1.0342,521,-4.9742,-1.2083
Occupancy,Bald Eagle,Intercept,-3.6512,1.1352,-5.6987,-3.7054,-1.2386,1.008,617,-5.405,-1.7567
Occupancy,Bank Swallow,Intercept,-4.2125,1.2134,-6.4725,-4.2291,-1.6513,1.0031,777,-6.0845,-2.2049
Occupancy,Baltimore Oriole,Intercept,-0.17,0.3474,-0.7735,-0.1887,0.6107,1.0052,1200,-0.6892,0.4565
Occupancy,Barn Swallow,Intercept,-1.8638,0.7451,-3.0358,-1.971,-0.2046,1.0006,784,-2.8706,-0.4977
Occupancy,Black-capped Chickadee,Intercept,3.1328,0.8145,1.9918,2.9961,5.1309,1.0032,904,2.1168,4.6881
Occupancy,Belted Kingfisher,Intercept,-0.9584,0.8347,-2.2092,-1.0724,0.9935,1.0167,692,-2.0568,0.4083
Occupancy,Blue-gray Gnatcatcher,Intercept,1.3498,0.4611,0.6351,1.2916,2.372,1.0241,1200,0.7229,2.1047
Occupancy,Brown-headed Cowbird,Intercept,2.0201,0.4701,1.2236,1.9563,3.0685,1.0064,1200,1.3545,2.8841
Occupancy,Blue-headed Vireo,Intercept,-4.2735,1.2975,-6.8127,-4.3253,-1.5128,1.0136,627,-6.3524,-2.0728
Occupancy,Blue Jay,Intercept,2.2398,0.3895,1.6337,2.1909,3.1552,1.0017,1200,1.6981,2.9143
Occupancy,Bobolink,Intercept,-5.782,1.6136,-9.0744,-5.6978,-2.635,1.0039,711,-8.4656,-3.2912
Occupancy,Brown Creeper,Intercept,-2.2527,0.514,-3.1811,-2.2674,-1.0675,1.023,848,-3.0437,-1.3583
Occupancy,Brown Thrasher,Intercept,-3.4277,0.9623,-5.2997,-3.4529,-1.5567,1.0059,925,-4.8878,-1.9107
Occupancy,Black-throated Green Warbler,Intercept,-5.7915,1.6251,-9.2141,-5.6925,-2.9118,1.0302,629,-8.6299,-3.3163
Occupancy,Broad-winged Hawk,Intercept,-3.7298,1.1294,-5.8219,-3.7773,-1.1904,1.0036,477,-5.4787,-1.7686
Occupancy,Blue-winged Warbler,Intercept,-2.9899,0.7912,-4.3474,-3.0606,-1.2803,1.0175,637,-4.117,-1.5804
Occupancy,Canada Goose,Intercept,-0.7118,1.3703,-2.6242,-0.9781,2.8594,1.0479,328,-2.3321,1.9595
Occupancy,Carolina Wren,Intercept,0.1433,0.4059,-0.5532,0.117,1.0327,1.0172,1134,-0.4608,0.8786
Occupancy,Cedar Waxwing,Intercept,-0.1525,0.3303,-0.7738,-0.1668,0.5337,1.0094,1200,-0.6659,0.3959
Occupancy,Cerulean Warbler,Intercept,-5.8379,1.5697,-9.362,-5.7413,-3.0339,1.021,683,-8.5459,-3.3934
Occupancy,Chipping Sparrow,Intercept,-0.7889,0.4604,-1.4935,-0.8463,0.3563,1.0065,1200,-1.4116,0.0532
Occupancy,Chimney Swift,Intercept,1.1735,0.7033,0.2084,1.0528,2.9209,1.0057,743,0.3159,2.5192
Occupancy,Cliff Swallow,Intercept,-4.327,1.3238,-6.905,-4.3184,-1.6162,1.0091,534,-6.4709,-2.2634
Occupancy,Common Grackle,Intercept,0.3782,0.4638,-0.4308,0.3539,1.3987,1.0059,1424,-0.3112,1.1882
Occupancy,Cooper's Hawk,Intercept,-2.3554,0.6747,-3.4389,-2.441,-0.6215,1.0091,1084,-3.2967,-1.0931
Occupancy,Common Yellowthroat,Intercept,-1.1664,0.2481,-1.6332,-1.1675,-0.6921,1.0096,1200,-1.5555,-0.7677
Occupancy,Dark-eyed Junco,Intercept,-2.0001,0.4388,-2.8216,-2.0218,-1.0838,1.002,1309,-2.6929,-1.248
Occupancy,Downy Woodpecker,Intercept,2.4885,0.7364,1.5419,2.3499,4.2868,1.0254,927,1.6396,3.6745
Occupancy,Eastern Bluebird,Intercept,-0.6301,0.6177,-1.5838,-0.6968,0.7618,1.0236,959,-1.4835,0.5063
Occupancy,Eastern Kingbird,Intercept,-3.2708,0.5131,-4.3102,-3.256,-2.3405,1.0075,1200,-4.1229,-2.4817
Occupancy,Eastern Meadowlark,Intercept,-4.2675,0.9014,-6.0429,-4.2885,-2.5616,1.0125,1018,-5.7338,-2.8291
Occupancy,Eastern Phoebe,Intercept,-1.3365,0.494,-2.1418,-1.3823,-0.2197,0.9996,1200,-2.0579,-0.4501
Occupancy,Eastern Towhee,Intercept,-1.3633,0.3171,-1.9795,-1.3733,-0.7191,1.0053,1392,-1.8711,-0.8325
Occupancy,Eastern Wood-Pewee,Intercept,2.679,0.4316,1.9619,2.6278,3.6219,1.0023,1200,2.0306,3.4415
Occupancy,European Starling,Intercept,-2.0715,0.3652,-2.7766,-2.0797,-1.3748,1.0139,1403,-2.6555,-1.4657
Occupancy,Field Sparrow,Intercept,-3.2115,0.4084,-4.0221,-3.2029,-2.4672,1.0153,1200,-3.8895,-2.5739
Occupancy,Great Blue Heron,Intercept,-1.9644,0.9871,-3.4305,-2.0844,0.5928,1.0164,466,-3.2598,-0.1648
Occupancy,Great Crested Flycatcher,Intercept,2.1668,1.1977,0.716,1.8397,5.3658,1.0393,446,0.8515,4.6424
Occupancy,Great Horned Owl,Intercept,-4.232,1.4847,-6.9028,-4.3288,-0.8751,1.0422,375,-6.4214,-1.7492
Occupancy,Gray Catbird,Intercept,0.094,0.2271,-0.3244,0.0865,0.583,1.0058,1200,-0.2695,0.4733
Occupancy,Green Heron,Intercept,-4.3484,1.3112,-6.8034,-4.4094,-1.4477,1.0012,655,-6.4703,-2.1233
Occupancy,Hairy Woodpecker,Intercept,1.0511,0.9566,-0.1954,0.8555,3.464,1.0286,516,-0.088,2.936
Occupancy,Herring Gull,Intercept,-5.0533,1.0386,-7.2435,-5.0236,-3.2127,1.014,1069,-6.8029,-3.461
Occupancy,Hermit Thrush,Intercept,-4.7893,0.742,-6.4398,-4.7193,-3.4954,1.0011,1084,-6.1808,-3.727
Occupancy,House Finch,Intercept,-0.4395,0.8902,-1.6495,-0.6052,1.8106,1.0204,628,-1.5024,1.1533
